candidateid,raceid,precinctsreporting,national,officeid,ballotorder,id,votepct,fipscode,reportingunitname,seatnum,winner,lastupdated,polid,initialization_data,racetype,incumbent,test,party,officename,electiondate,racetypeid,uncontested,description,precinctsreportingpct,polnum,key,reportingunitid,is_ballot_measure,precinctstotal,last,statepostal,level,statename,votecount,seatname,runoff,unique_id,first
22321,16957,0,True,P,1,16957-polid-1239-16089,0.0,19177,Van Buren,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Van Buren1608922321,16089,,8,Bush,IA,county,,0,,False,polid-1239,Jeb
22322,16957,0,True,P,2,16957-polid-64509-16089,0.0,19177,Van Buren,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Van Buren1608922322,16089,,8,Carson,IA,county,,0,,False,polid-64509,Ben
22323,16957,0,True,P,3,16957-polid-60051-16089,0.0,19177,Van Buren,0,False,,60051,False,,False,True,GOP,President,20160201,S,False,,0.0,18861,16957Van Buren1608922323,16089,,8,Christie,IA,county,,0,,False,polid-60051,Chris
22340,16672,0,True,P,4,16672-polid-100004-16070,0.0,19139,Muscatine,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Muscatine1607022340,16070,,23,Uncommitted,IA,county,,0,,False,polid-100004,
22326,16957,0,True,P,5,16957-polid-60339-16089,0.0,19177,Van Buren,0,False,,60339,False,,False,True,GOP,President,20160201,S,False,,0.0,18864,16957Van Buren1608922326,16089,,8,Fiorina,IA,county,,0,,False,polid-60339,Carly
22343,16672,0,True,P,5,16672-polid-100007-16070,0.0,19139,Muscatine,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Muscatine1607022343,16070,,23,Other,IA,county,,0,,False,polid-100007,
22329,16957,0,True,P,7,16957-polid-1187-16089,0.0,19177,Van Buren,0,False,,1187,False,,False,True,GOP,President,20160201,S,False,,0.0,18867,16957Van Buren1608922329,16089,,8,Huckabee,IA,county,,0,,False,polid-1187,Mike
22340,16672,0,True,P,4,16672-polid-100004-16067,0.0,19133,Monona,0,False,,100004,False,,False,True,Dem,President,20160201,E,False,,0.0,16613,16672Monona1606722340,16067,,11,Uncommitted,IA,county,,0,,False,polid-100004,
22343,16672,0,True,P,5,16672-polid-100007-16067,0.0,19133,Monona,0,False,,100007,False,,False,True,Dem,President,20160201,E,False,,0.0,17474,16672Monona1606722343,16067,,11,Other,IA,county,,0,,False,polid-100007,
22324,16957,0,True,P,4,16957-polid-61815-16089,0.0,19177,Van Buren,0,False,,61815,False,,False,True,GOP,President,20160201,S,False,,0.0,18862,16957Van Buren1608922324,16089,,8,Cruz,IA,county,,0,,False,polid-61815,Ted
22323,16957,0,True,P,3,16957-polid-60051-16021,0.0,19041,Clay,0,False,,60051,False,,False,True,GOP,President,20160201,S,False,,0.0,18861,16957Clay1602122323,16021,,12,Christie,IA,county,,0,,False,polid-60051,Chris
22322,16957,0,True,P,2,16957-polid-64509-16021,0.0,19041,Clay,0,False,,64509,False,,False,True,GOP,President,20160201,S,False,,0.0,18860,16957Clay1602122322,16021,,12,Carson,IA,county,,0,,False,polid-64509,Ben
22321,16957,0,True,P,1,16957-polid-1239-16021,0.0,19041,Clay,0,False,,1239,False,,False,True,GOP,President,20160201,S,False,,0.0,18859,16957Clay1602122321,16021,,12,Bush,IA,county,,0,,False,polid-1239,Jeb
